bin,lo,hi,count,confidence,accuracy,gap,device,precision,variant
4,0.4,0.5,52,0.4486943454696582,0.7884615384615384,0.33976719299188024,legion,fp32,featureHardKD
5,0.5,0.6000000000000001,16,0.5387433096766472,0.9375,0.3987566903233528,legion,fp32,featureHardKD
6,0.6000000000000001,0.7000000000000001,4,0.6182514131069183,1.0,0.38174858689308167,legion,fp32,featureHardKD
7,0.7000000000000001,0.8,0,,,,legion,fp32,featureHardKD
8,0.8,0.9,0,,,,legion,fp32,featureHardKD
9,0.9,1.0,0,,,,legion,fp32,featureHardKD
0,0.0,0.1,24,0.08850785158574581,0.0,0.08850785158574581,legion,fp16,baseline
1,0.1,0.2,436,0.16073669790538078,0.07339449541284404,0.08734220249253674,legion,fp16,baseline
2,0.2,0.30000000000000004,485,0.24340986630965755,0.2845360824742268,0.04112621616456924,legion,fp16,baseline
3,0.30000000000000004,0.4,162,0.34175175465183494,0.4876543209876543,0.14590256633581938,legion,fp16,baseline
4,0.4,0.5,50,0.440229811668396,0.64,0.19977018833160404,legion,fp16,baseline
5,0.5,0.6000000000000001,12,0.5361019968986511,0.9166666666666666,0.3805646697680155,legion,fp16,baseline
6,0.6000000000000001,0.7000000000000001,1,0.6246370077133179,1.0,0.37536299228668213,legion,fp16,baseline
7,0.7000000000000001,0.8,0,,,,legion,fp16,baseline
8,0.8,0.9,0,,,,legion,fp16,baseline
9,0.9,1.0,0,,,,legion,fp16,baseline
0,0.0,0.1,221,0.0556672369530298,0.02262443438914027,0.03304280256388953,legion,fp16,logitKD
1,0.1,0.2,269,0.1460888229005842,0.05947955390334572,0.08660926899723848,legion,fp16,logitKD
2,0.2,0.30000000000000004,180,0.2505173178182708,0.13333333333333333,0.11718398448493747,legion,fp16,logitKD
3,0.30000000000000004,0.4,174,0.34502751440152357,0.2988505747126437,0.04617693968887987,legion,fp16,logitKD
4,0.4,0.5,152,0.4429051856461324,0.4605263157894737,0.017621130143341268,legion,fp16,logitKD
5,0.5,0.6000000000000001,93,0.5390593230083425,0.6129032258064516,0.07384390279810915,legion,fp16,logitKD
6,0.6000000000000001,0.7000000000000001,29,0.6447439440365496,0.7241379310344828,0.07939398699793321,legion,fp16,logitKD
7,0.7000000000000001,0.8,30,0.7411876420180002,0.9,0.15881235798199977,legion,fp16,logitKD
8,0.8,0.9,17,0.8389849943273208,0.9411764705882353,0.10219147626091452,legion,fp16,logitKD
9,0.9,1.0,5,0.9193642497062683,1.0,0.08063575029373171,legion,fp16,logitKD
0,0.0,0.1,246,0.05814394047218791,0.028455284552845527,0.029688655919342385,legion,fp16,featureKD
1,0.1,0.2,248,0.14747879389793642,0.04838709677419355,0.09909169712374287,legion,fp16,featureKD
2,0.2,0.30000000000000004,178,0.24856804612647282,0.16853932584269662,0.0800287202837762,legion,fp16,featureKD
3,0.30000000000000004,0.4,187,0.34939457547855884,0.29411764705882354,0.055276928419735305,legion,fp16,featureKD
4,0.4,0.5,155,0.4444815687594875,0.4967741935483871,0.05229262478889957,legion,fp16,featureKD
5,0.5,0.6000000000000001,72,0.5429877539475759,0.5972222222222222,0.054234468274646286,legion,fp16,featureKD
6,0.6000000000000001,0.7000000000000001,38,0.6473343262546941,0.6842105263157895,0.03687620006109538,legion,fp16,featureKD
7,0.7000000000000001,0.8,23,0.7475597884344019,0.9130434782608695,0.16548368982646766,legion,fp16,featureKD
8,0.8,0.9,20,0.8366731405258179,1.0,0.16332685947418213,legion,fp16,featureKD
9,0.9,1.0,3,0.9106671611467997,0.6666666666666666,0.24400049448013306,legion,fp16,featureKD
0,0.0,0.1,87,0.07934995631462541,0.011494252873563218,0.06785570344106219,legion,fp16,featureHardKD
1,0.1,0.2,516,0.15239350112198397,0.08333333333333333,0.06906016778865064,legion,fp16,featureHardKD
2,0.2,0.30000000000000004,361,0.24392989302606133,0.3268698060941828,0.08293991306812148,legion,fp16,featureHardKD
3,0.30000000000000004,0.4,134,0.33647927619628054,0.5298507462686567,0.19337147007237615,legion,fp16,featureHardKD
4,0.4,0.5,51,0.4476398346470852,0.7843137254901961,0.3366738908431109,legion,fp16,featureHardKD
5,0.5,0.6000000000000001,17,0.5365130445536446,0.9411764705882353,0.4046634260345907,legion,fp16,featureHardKD
6,0.6000000000000001,0.7000000000000001,4,0.6192163825035095,1.0,0.3807836174964905,legion,fp16,featureHardKD
7,0.7000000000000001,0.8,0,,,,legion,fp16,featureHardKD
8,0.8,0.9,0,,,,legion,fp16,featureHardKD
9,0.9,1.0,0,,,,legion,fp16,featureHardKD
0,0.0,0.1,2,0.09426268190145493,0.0,0.09426268190145493,legion,int8,baseline
1,0.1,0.2,411,0.16569460772539868,0.1070559610705596,0.058638646654839074,legion,int8,baseline
2,0.2,0.30000000000000004,564,0.24152111742936128,0.2730496453900709,0.03152852796070965,legion,int8,baseline
3,0.30000000000000004,0.4,137,0.34122201735085816,0.43795620437956206,0.0967341870287039,legion,int8,baseline
4,0.4,0.5,52,0.4383625823717851,0.5961538461538461,0.15779126378206104,legion,int8,baseline
5,0.5,0.6000000000000001,4,0.5292499214410782,1.0,0.4707500785589218,legion,int8,baseline
6,0.6000000000000001,0.7000000000000001,0,,,,legion,int8,baseline
7,0.7000000000000001,0.8,0,,,,legion,int8,baseline
8,0.8,0.9,0,,,,legion,int8,baseline
9,0.9,1.0,0,,,,legion,int8,baseline
0,0.0,0.1,128,0.06941015867050737,0.0390625,0.03034765867050737,legion,int8,logitKD
1,0.1,0.2,245,0.15275675900736635,0.07346938775510205,0.0792873712522643,legion,int8,logitKD
2,0.2,0.30000000000000004,244,0.2500594912982378,0.1721311475409836,0.07792834375725419,legion,int8,logitKD
3,0.30000000000000004,0.4,228,0.35028140835071864,0.2324561403508772,0.11782526799984144,legion,int8,logitKD
4,0.4,0.5,173,0.44487923573207305,0.4393063583815029,0.00557287735057016,legion,int8,logitKD
5,0.5,0.6000000000000001,97,0.5403878350847775,0.5876288659793815,0.047241030894603964,legion,int8,logitKD
6,0.6000000000000001,0.7000000000000001,30,0.6514132499694825,0.6666666666666666,0.015253416697184163,legion,int8,logitKD
7,0.7000000000000001,0.8,17,0.7337255057166604,0.8823529411764706,0.14862743545981016,legion,int8,logitKD
8,0.8,0.9,8,0.8334086686372757,0.875,0.041591331362724304,legion,int8,logitKD
9,0.9,1.0,0,,,,legion,int8,logitKD
0,0.0,0.1,10,0.08512271344661712,0.0,0.08512271344661712,legion,int8,featureKD
1,0.1,0.2,141,0.15739315108838656,0.07801418439716312,0.07937896669122343,legion,int8,featureKD
2,0.2,0.30000000000000004,230,0.2526942764935286,0.1782608695652174,0.07443340692831121,legion,int8,featureKD
3,0.30000000000000004,0.4,228,0.34912840760590735,0.21929824561403508,0.12983016199187228,legion,int8,featureKD
4,0.4,0.5,197,0.45044284907694393,0.18781725888324874,0.2626255901936952,legion,int8,featureKD
5,0.5,0.6000000000000001,158,0.5459164222584495,0.3037974683544304,0.2421189539040191,legion,int8,featureKD
6,0.6000000000000001,0.7000000000000001,133,0.6471645702096752,0.41353383458646614,0.23363073562320907,legion,int8,featureKD
7,0.7000000000000001,0.8,58,0.7456117714273518,0.6724137931034483,0.07319797832390351,legion,int8,featureKD
8,0.8,0.9,14,0.8353255603994642,0.7857142857142857,0.04961127468517845,legion,int8,featureKD
